USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
1532892895920150,59,3,240.0,4,2,2,422
1532894856088910,5,2,126.0,1,3,3,133
1532896936388210,59,2,117.0,4,3,4,434
1532897904585230,22,4,406.0,2,1,1,211
1532899043609830,59,2,201.68,4,3,2,432
1532902096698190,59,1,125.0,4,4,3,443
1532906875391570,49,1,147.5,4,4,3,443
1532908338575910,59,2,141.0,4,3,3,433
1532910679509620,13,30,3093.0,2,1,1,211
1532911109976450,58,5,374.0,4,1,1,411
1532914934211180,21,2,165.22,2,3,3,233
1532916281772730,58,3,237.0,4,2,2,422
1532916529554410,15,4,302.0,2,1,2,212
1532917189509350,58,8,674.0,4,1,1,411
1532918093301610,58,1,104.0,4,4,4,444
1532920636524140,58,2,158.0,4,3,3,433
1532920769859490,58,1,140.93,4,4,3,443
1532921161610420,58,3,319.0,4,2,2,422
1532921651402400,23,8,539.49,2,1,1,211
1532924303471180,25,7,1024.0800000000002,2,1,1,211
1532925953198240,58,3,219.20000000000002,4,2,2,422
1532926324070890,46,6,859.0,3,1,1,311
1532928806463250,58,3,118.0,4,2,4,424
1532949507714510,33,1,159.0,3,4,3,343
1532952514034910,58,3,101.0,4,2,4,424
1532953371971360,58,3,137.0,4,2,3,423
1532956168346660,58,3,220.0,4,2,2,422
1532958086615450,12,4,603.72,1,1,1,111
1532959629113890,58,2,229.0,4,3,2,432
1532959781887150,58,1,74.0,4,4,4,444
1532963845905470,58,3,154.0,4,2,3,423
1532966333605290,58,3,245.0,4,2,2,422
1532966523659590,57,3,397.0,4,2,1,421
1532967947292550,2,22,2524.0,1,1,1,111
1532970852997250,58,1,173.83,4,4,3,443
1532971788377940,58,1,113.45,4,4,4,444
1532972258589370,58,2,159.0,4,3,3,433
1532972484890840,51,5,385.0,4,1,1,411
1532977985776780,25,4,256.88,2,1,2,212
1532979627538340,58,6,302.46,4,1,2,412
1532982225483650,2,2,144.85,1,3,3,133
1532984273015140,4,2,193.0,1,3,2,132
1532985962965480,2,9,828.55,1,1,1,111
1532986625371480,16,9,923.61,2,1,1,211
1532987458129460,23,4,222.2,2,1,2,212
1532988215942900,58,2,268.0,4,3,2,432
1532988529440760,49,1,70.0,4,4,4,444
1532988961289180,49,1,129.0,4,4,3,443
1532989470077330,58,2,324.74,4,3,2,432
1532989853086990,58,3,287.0,4,2,2,422
1532991188901500,22,5,372.15,2,1,1,211
1532991676951750,58,2,148.0,4,3,3,433
1532992438943300,58,1,129.0,4,4,3,443
1532994356478140,2,9,635.0,1,1,1,111
1532994943303910,31,10,432.88,3,1,1,311
1532995556731990,31,3,281.0,3,2,2,322
1532996896221610,57,1,62.0,4,4,4,444
1532997295400400,57,1,66.0,4,4,4,444
