,USER_ID,recency,frequency,monetory_value,r_quartile,f_quartile,m_quartile,RFMScore
20135,15366414436078900,15,5,1066.3,2,1,1,211
20141,15366439413598000,15,3,206.88,2,2,2,222
20144,15366457837883900,15,4,708.96,2,1,1,211
20145,15366473050847900,1,8,1095.31,1,1,1,111
20150,15366486252369400,12,11,1631.38,1,1,1,111
20151,15366503829572100,1,9,704.0,1,1,1,111
20160,15366691010056600,15,3,482.0,2,2,1,221
20163,15366695279725500,5,3,477.0,1,2,1,121
20165,15366712769623400,14,3,371.0,2,2,1,221
20171,15366722737246400,15,7,797.0,2,1,1,211
20172,15366737099203700,15,3,387.0,2,2,1,221
20179,15366745697657600,2,3,347.0,1,2,1,121
20180,15366753153998600,13,6,463.0,2,1,1,211
20190,15366801122864500,15,5,610.0,2,1,1,211
20191,15366803924759800,15,7,932.9,2,1,1,211
20193,15366808845188100,2,8,515.96,1,1,1,111
20196,15366820353087700,15,3,505.12,2,2,1,221
20198,15366822954509300,15,3,453.0,2,2,1,221
20201,15366833191119200,12,8,839.0,1,1,1,111
20202,15366833865111400,13,6,643.5800000000003,2,1,1,211
20205,15366836373005600,4,11,740.0,1,1,1,111
20208,15366839579571800,5,16,863.0,1,1,1,111
20209,15366844156235900,12,3,287.0,1,2,2,122
20215,15366849520505800,15,3,411.82,2,2,1,221
20217,15366855401329900,15,3,407.0,2,2,1,221
20232,15366883760169700,15,3,215.0,2,2,2,222
20233,15366884183195700,15,4,591.72,2,1,1,211
20245,15366902459471400,15,4,596.24,2,1,1,211
20249,15366922276192100,15,3,586.47,2,2,1,221
20255,15366934587661400,15,5,285.0,2,1,2,212
20263,15366965208036300,15,4,766.0,2,1,1,211
20265,15366976564297700,15,3,396.0,2,2,1,221
20271,15366988764503200,13,4,565.0,2,1,1,211
20281,15367018335468700,15,4,697.6,2,1,1,211
20282,15367020235728600,5,4,341.12,1,1,1,111
20283,15367024789279100,5,3,215.0,1,2,2,122
20285,15367028125054900,14,4,610.0,2,1,1,211
20286,15367034952581200,14,8,792.0,2,1,1,211
20303,15367076175798900,15,3,545.5,2,2,1,221
20304,15367076664162600,15,4,386.0,2,1,1,211
20310,15367090427803700,15,3,312.0,2,2,2,222
20312,15367096228923100,15,3,183.0,2,2,2,222
20313,15367096372197600,14,3,409.98,2,2,1,221
20317,15367108322935200,14,5,850.0,2,1,1,211
20332,15367142547502300,14,3,297.0,2,2,2,222
20335,15367145820276000,7,3,459.6,1,2,1,121
20342,15367167014437700,14,3,317.0,2,2,2,222
20361,15367203360671400,3,3,448.46,1,2,1,121
20363,15367210019391500,14,5,595.0,2,1,1,211
20369,15367218576058400,3,4,360.33,1,1,1,111
20376,15367241438933600,14,3,187.0,2,2,2,222
20377,15367244697799600,1,6,1009.78,1,1,1,111
20379,15367247462094100,14,3,267.79,2,2,2,222
20380,15367248152028400,14,3,492.67,2,2,1,221
20382,15367249394361000,14,3,340.17,2,2,1,221
20383,15367250352451800,12,3,448.62,1,2,1,121
20386,15367256129131100,14,3,227.0,2,2,2,222
20390,15367267599789400,14,3,315.52,2,2,2,222
20393,15367292370388200,12,3,627.13,1,2,1,121
20394,15367298439343800,14,3,251.66,2,2,2,222
20400,15367322658516700,14,5,797.3,2,1,1,211
20409,15367404571942800,6,3,502.0,1,2,1,121
20414,15367526212751100,13,18,1639.0,2,1,1,211
20417,15367546500934100,14,3,564.3499999999998,2,2,1,221
20419,15367550625036200,8,4,346.0,1,1,1,111
20422,15367566145683000,13,3,267.0,2,2,2,222
20424,15367579789782500,14,3,412.03,2,2,1,221
20429,15367587718155400,14,5,515.0,2,1,1,211
20433,15367594797778500,14,13,2345.01,2,1,1,211
20434,15367598188513800,13,4,556.0,2,1,1,211
